
> lifehub@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.101.48:3000
- Environments: .env.local

✓ Starting...
 GET /dashboard 200 in 518ms (compile: 5ms, proxy.ts: 225ms, render: 289ms)
 GET /dashboard 200 in 485ms (compile: 3ms, proxy.ts: 216ms, render: 265ms)
 GET /dashboard 200 in 506ms (compile: 6ms, proxy.ts: 211ms, render: 289ms)
 GET /dashboard 200 in 680ms (compile: 6ms, proxy.ts: 377ms, render: 297ms)
 GET /dashboard 200 in 586ms (compile: 9ms, proxy.ts: 210ms, render: 368ms)
 GET /dashboard 200 in 612ms (compile: 6ms, proxy.ts: 289ms, render: 316ms)
 GET /dashboard 200 in 557ms (compile: 1857µs, proxy.ts: 293ms, render: 262ms)
 GET /dashboard 200 in 532ms (compile: 6ms, proxy.ts: 220ms, render: 307ms)
 GET /dashboard 200 in 500ms (compile: 3ms, proxy.ts: 267ms, render: 229ms)
 GET /dashboard 200 in 512ms (compile: 1356µs, proxy.ts: 220ms, render: 291ms)
 GET /dashboard 200 in 475ms (compile: 3ms, proxy.ts: 246ms, render: 226ms)
 GET /dashboard 200 in 538ms (compile: 1420µs, proxy.ts: 216ms, render: 320ms)
 GET /dashboard 200 in 568ms (compile: 5ms, proxy.ts: 280ms, render: 283ms)
 GET /dashboard 200 in 536ms (compile: 5ms, proxy.ts: 235ms, render: 296ms)
 GET /dashboard 200 in 558ms (compile: 5ms, proxy.ts: 238ms, render: 315ms)
 GET /dashboard 200 in 561ms (compile: 5ms, proxy.ts: 227ms, render: 330ms)
 GET /dashboard 200 in 510ms (compile: 6ms, proxy.ts: 237ms, render: 267ms)
 GET /dashboard 200 in 457ms (compile: 3ms, proxy.ts: 213ms, render: 241ms)
 GET /dashboard 200 in 486ms (compile: 3ms, proxy.ts: 235ms, render: 248ms)
 GET /dashboard 200 in 515ms (compile: 2ms, proxy.ts: 207ms, render: 306ms)
 GET /dashboard 200 in 539ms (compile: 6ms, proxy.ts: 262ms, render: 270ms)
 GET /dashboard 200 in 526ms (compile: 5ms, proxy.ts: 215ms, render: 307ms)
 GET /dashboard 200 in 515ms (compile: 13ms, proxy.ts: 246ms, render: 256ms)
 GET /dashboard 200 in 526ms (compile: 5ms, proxy.ts: 213ms, render: 308ms)
 GET /dashboard 200 in 530ms (compile: 7ms, proxy.ts: 255ms, render: 267ms)
 GET /dashboard 200 in 545ms (compile: 5ms, proxy.ts: 217ms, render: 323ms)
 GET /dashboard 200 in 550ms (compile: 7ms, proxy.ts: 252ms, render: 291ms)
 GET /dashboard 200 in 473ms (compile: 4ms, proxy.ts: 216ms, render: 253ms)
 GET /dashboard 200 in 504ms (compile: 3ms, proxy.ts: 228ms, render: 273ms)
 GET /dashboard 200 in 518ms (compile: 5ms, proxy.ts: 214ms, render: 299ms)
 GET /dashboard 200 in 485ms (compile: 4ms, proxy.ts: 247ms, render: 234ms)
 GET /dashboard 200 in 516ms (compile: 3ms, proxy.ts: 212ms, render: 302ms)
 GET /dashboard 200 in 530ms (compile: 3ms, proxy.ts: 254ms, render: 272ms)
 GET /dashboard 200 in 526ms (compile: 6ms, proxy.ts: 214ms, render: 306ms)
 GET /dashboard 200 in 519ms (compile: 5ms, proxy.ts: 251ms, render: 263ms)
 GET /dashboard 200 in 533ms (compile: 5ms, proxy.ts: 216ms, render: 312ms)
 GET /dashboard 200 in 530ms (compile: 12ms, proxy.ts: 260ms, render: 258ms)
 GET /dashboard 200 in 510ms (compile: 3ms, proxy.ts: 211ms, render: 296ms)
 GET /dashboard 200 in 523ms (compile: 2ms, proxy.ts: 254ms, render: 267ms)
 GET /dashboard 200 in 524ms (compile: 5ms, proxy.ts: 218ms, render: 301ms)
 GET /dashboard 200 in 532ms (compile: 3ms, proxy.ts: 256ms, render: 273ms)
 GET /dashboard 200 in 525ms (compile: 5ms, proxy.ts: 218ms, render: 302ms)
 GET /dashboard 200 in 511ms (compile: 2ms, proxy.ts: 249ms, render: 261ms)
